trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",25,14,5.232098394680051,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,0,-134.78847893990633,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",25,11,-16.762635035384246,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",30,3,-33.74023974377125,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,16,18.849588002413082,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,5,-22.968674304467548,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",30,9,-20.02682210635035,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",30,20,15.36416672770544,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",20,16,6.129089208888236,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,11,4.755939863172573,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,12,-0.9891303253902874,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,-26.093987139643207,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",25,4,7.906771980679782,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,4,16.205454255360948,"{0: 18, 1: 3, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",20,14,-4.403855204990512,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,11,3.91590451611287,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",25,0,-36.93551973151317,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,3,13.728528651184844,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",25,0,8.800165762808975,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",25,11,-0.12799935633842452,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",30,15,-29.897971048347678,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,11,-20.006037588344956,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",20,16,6.786216641132263,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,10,1.859592205155803,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",25,1,-31.618519895486415,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,8,24.038725265752888,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
